pair_type,count,layer_support,mean_rho,max_rho
v->down,3,3,0.41178611398522813,0.4846737529089273
v->up,3,3,0.4022530000628161,0.45136698550625587
v->gate,3,3,0.3700103451225507,0.40512159293590255
q->k,3,3,0.30457420194490387,0.34014439497833837
v->o,3,3,0.29426751640557597,0.43671697829652745
q->v,3,3,0.26997712269852686,0.32258830498506674
up->down,3,3,0.25605746256609296,0.3580469937141258
o->up,3,3,0.2366804320760214,0.48005319462064117
q->gate,3,3,0.23267952502087966,0.36769358360647847
q->up,3,3,0.22207587176164453,0.29461014239621214
o->gate,3,3,0.20440166259277512,0.41729682810239105
gate->down,3,3,0.2043839773854991,0.2921599884725256
k->gate,3,3,0.16661777108021228,0.18269977151697991
k->up,3,3,0.16494629554178475,0.1912683639816278
o->down,3,3,0.13407614751675276,0.36735545999654745
k->o,3,3,0.13310082445639923,0.1969170751981864
q->down,3,3,0.10122912137595914,0.14608227556058287
k->down,3,3,0.07521068649884184,0.12433957154028846
up->gate,3,3,0.018221555647321072,0.04187305272620286
k->v,3,3,0.003329065077249439,0.0069400524940086425
q->o,3,3,5.086701348578868e-05,9.056962421895469e-05
